feature,importance
land_area,0.22301095619754885
building_age,0.191573684332996
building_area,0.10643126220149238
no_of_floor,0.06533294319680755
dist_to_asoke,0.054544398366933165
dist_to_siam_paragon,0.054204783457853956
dist_to_bts,0.0431592417576852
building_style_encoded,0.02305903150414275
property_count,0.013521701797144611
dist_to_silom,0.010643507936637864
flood_risk,0.009928512444093594
dist_to_cbd_min,0.007212585985405005
poi_total,0.005582064295731878
poi_transit_stop,0.001444625409715957
poi_school,0.000631518980598523
transit_total,0.0002784280035698724
poi_hospital,0.0
poi_mall,0.0
poi_restaurant,0.0
poi_cafe,0.0
poi_supermarket,0.0
poi_park,0.0
poi_temple,0.0
