feature,importance
land_area,0.1900971717889763
building_age,0.17457766264745414
building_area,0.11079520069050965
no_of_floor,0.04770462785195672
dist_to_asoke,0.0403554123351025
dist_to_bts,0.032319176514414384
emb_9,0.020473034314687933
dist_to_siam_paragon,0.020407653827119124
emb_58,0.014823716338856369
building_style_encoded,0.011969946756010515
emb_11,0.009816928660721173
property_count,0.00752835696743926
dist_to_cbd_min,0.007368022438819221
emb_51,0.006333894193311128
emb_60,0.005848410343755335
emb_3,0.005173970141098344
emb_0,0.004811524410639938
emb_18,0.004446575231453609
flood_risk,0.0043715223097197786
emb_49,0.004096844743854284
dist_to_silom,0.003888603123843721
emb_8,0.003157900988541719
poi_total,0.002777650281711968
emb_19,0.0025284073785478444
emb_54,0.002234052240048881
emb_27,0.0021969476907816618
emb_23,0.0021310333829015695
emb_5,0.002097383596842292
emb_41,0.002094759566191385
emb_26,0.002011662885042102
emb_56,0.0018402714298165262
emb_61,0.0017733184790859882
emb_6,0.001759111876798452
emb_22,0.0017314397350033472
emb_59,0.0016901187517354458
emb_21,0.0016448871289440137
emb_32,0.0016009863892699815
emb_10,0.0015249374812410046
emb_62,0.0014137393733434929
emb_36,0.0013417895297652563
emb_2,0.0012545419980670343
emb_39,0.0012345900480008084
emb_15,0.0012077250074901155
emb_29,0.0012035500876954861
emb_48,0.0011862244498169446
emb_24,0.0011836861550746623
emb_52,0.0011481805170275236
emb_45,0.0010665996570935919
emb_31,0.0010181542044443415
emb_33,0.0010073006250773016
emb_34,0.0009937699217402297
emb_30,0.0009350377229691696
emb_13,0.0008956245062117562
emb_50,0.0008778590142111425
emb_63,0.0007865049779848309
emb_55,0.0007680923194423978
emb_38,0.0007337400212283759
emb_20,0.000724563977299703
emb_47,0.0006745711701368351
emb_44,0.0006397602922412083
emb_16,0.0006383293845103538
emb_37,0.0006162241248032252
emb_46,0.0006047618778962105
emb_42,0.0005815513968071538
emb_1,0.0005646774905458268
emb_35,0.0005397956221833422
emb_53,0.0005312455872538638
emb_40,0.0005215203211021593
emb_12,0.000499416493592138
emb_57,0.00045148600967465276
emb_17,0.0004173844752434067
emb_25,0.0003688076674198013
emb_43,0.0003562581728193612
emb_28,0.0003328165854385536
emb_14,0.0002995524943714395
emb_7,0.00028701142505245297
emb_4,0.0002448941796463195
poi_temple,0.0
poi_park,0.0
transit_total,0.0
poi_supermarket,0.0
poi_cafe,0.0
poi_restaurant,0.0
poi_mall,0.0
poi_hospital,0.0
poi_transit_stop,0.0
poi_school,0.0
