id,district,building_area,total_price,log_price,predicted_log_price,residual
1788,พระโขนง,378.0,25000000.0,17.034386422832473,15.373141790329447,1.661244632503026
6643,พระโขนง,243.5,16803000.0,16.63706805937326,15.091996801249186,1.5450712581240733
4408,มีนบุรี,105.0,655000.0,13.39239204133378,14.726047192841072,-1.3336551515072923
5174,ประเวศ,142.04,718000.0,13.484226240787052,14.733263841697795,-1.249037600910743
6999,พระโขนง,292.0,13441000.0,16.41382036945251,15.195768499633793,1.2180518698187157
1786,พระโขนง,202.0,11317000.0,16.241816666310715,15.106801108232254,1.1350155580784609
4328,บางพลัด,45.5,560000.0,13.235693848424024,14.346046405071702,-1.110352556647678
2685,คลองสามวา,130.5,1178000.0,13.979329492089743,15.062038490654368,-1.082708998564625
1740,บางกะปิ,109.0,19828369.0,16.802624298428626,15.725052461410986,1.07757183701764
7585,บางกอกน้อย,145.54,9000000.0,16.012735246411598,14.957268674096103,1.0554665723154955
140,หนองจอก,85.0,600000.0,13.304686600863562,14.278122274604865,-0.973435673741303
7957,ลาดกระบัง,82.0,749000.0,13.52649559761195,14.493592027218204,-0.9670964296062543
4648,มีนบุรี,158.09,1675000.0,14.331324320256051,15.295693313507037,-0.9643689932509858
8140,คลองสามวา,127.5,1900000.0,14.45736497045232,15.418982446054505,-0.9616174756021856
4551,ราษฎร์บูรณะ,308.0,2182000.0,14.59575290367019,15.513961424946562,-0.9182085212763713
2209,ราษฎร์บูรณะ,266.0,11900000.0,16.29204904211537,15.383583830972087,0.908465211143282
3518,หนองจอก,109.4,800000.0,13.592368256649284,14.481913389158915,-0.8895451325096317
4575,ภาษีเจริญ,77.0,680000.0,13.429849547739444,14.317950640470889,-0.8881010927314446
8062,จอมทอง,196.0,2518000.0,14.73897589072694,15.62569797299069,-0.8867220822637503
2426,ลาดกระบัง,90.0,620000.0,13.3374763699232,14.209278571317974,-0.8718022013947735
372,หนองจอก,67.25,800000.0,13.592368256649284,14.460272673758176,-0.8679044171088925
8197,ดอนเมือง,446.0,30000000.0,17.216707972959764,16.35815822933706,0.858549743622703
1536,ลาดกระบัง,154.0,4852000.0,15.394901755146634,16.247801477058445,-0.8528997219118111
6905,สะพานสูง,469.24,45000000.0,17.622173069956816,16.772860120707772,0.8493129492490432
7517,บางบอน,256.0,20000000.0,16.811242881518265,15.964169777386541,0.8470731041317237
7565,บางเขน,162.0,3474000.0,15.060817513635765,15.905389738739235,-0.8445722251034695
2915,พระโขนง,159.0,9542000.0,16.071213769858016,15.228250419442434,0.842963350415582
5101,พระโขนง,63.0,3140000.0,14.959733676355723,14.11920521744042,0.840528458915303
5514,สะพานสูง,251.8,23750000.0,16.983093130550188,16.145641284816172,0.8374518457340159
4375,ลาดกระบัง,118.25,790000.0,13.579789490265188,14.408153729009147,-0.8283642387439585
3874,พระโขนง,115.0,6000000.0,15.607270193858982,14.779200351488168,0.8280698423708142
6117,ประเวศ,247.5,3650000.0,15.11023799953124,15.935359295198893,-0.8251212956676532
7087,จอมทอง,142.8,13000000.0,16.380459992348886,15.567013662425435,0.8134463299234511
1371,วังทองหลาง,218.4,14000000.0,16.454567959008102,15.644264049358222,0.8103039096498801
4567,มีนบุรี,148.0,1757000.0,14.379118936321035,15.187684539232505,-0.8085656029114698
7917,พระโขนง,141.9,6830000.0,15.736835377959846,14.929496346925024,0.8073390310348216
6477,บางกะปิ,275.75,20000000.0,16.811242881518265,16.0047937741228,0.8064491073954656
8198,จตุจักร,105.5,4600000.0,15.341567078850604,14.537262690330216,0.8043043885203875
8283,บางกะปิ,180.45,7009000.0,15.762705738156157,14.962542810141283,0.8001629280148741
2127,หนองจอก,117.0,820000.0,13.617060838751888,14.410474371851665,-0.7934135330997769
2771,ทวีวัฒนา,28.7,909000.0,13.720101473269022,14.511880807386373,-0.7917793341173507
6772,บางเขน,344.45,33000000.0,17.312018149733785,16.523846272729752,0.7881718770040322
203,บางซื่อ,107.75,1365000.0,14.126665719201661,14.912091314574514,-0.7854255953728533
4297,พระโขนง,274.75,4092000.0,15.2245446504329,16.001230766184463,-0.7766861157515628
5105,ลาดกระบัง,156.0,1700000.0,14.346139397261565,15.122801297824456,-0.7766619005628908
618,บางกะปิ,104.0,6500000.0,15.687312888712007,14.91103514527718,0.7762777434348269
8495,หนองแขม,93.0,1748000.0,14.373983407279834,15.150168610708521,-0.7761852034286871
1501,ธนบุรี,124.25,1485000.0,14.210926003619385,14.983768473261929,-0.7728424696425442
4330,ลาดพร้าว,128.0,1140000.0,13.946539697563276,14.719179879909273,-0.772640182345997
419,หนองจอก,97.0,750000.0,13.527829818844937,14.29520362322968,-0.7673738043847429
3512,บางกะปิ,163.5,6671000.0,15.713280481594204,14.948370412920317,0.7649100686738866
7271,ตลิ่งชัน,200.0,13340000.0,16.40627767341427,15.642567586719759,0.7637100866945108
5294,หนองจอก,73.0,650000.0,13.384729180332174,14.14564355647621,-0.7609143761440365
3312,คลองสามวา,196.75,3825000.0,15.157069286680647,15.915654079444941,-0.7585847927642941
1702,วัฒนา,162.5,11449000.0,16.253413035249817,15.496521307465047,0.7568917277847707
279,สายไหม,169.0,3439000.0,15.050691580196565,15.798110890680691,-0.7474193104841262
5256,ลาดกระบัง,85.0,924000.0,13.736468432874318,14.474755939305975,-0.7382875064316572
2179,หนองจอก,67.0,650000.0,13.384729180332174,14.12289926229582,-0.738170081963645
367,หนองจอก,88.65,1000000.0,13.815511557963774,14.552161720241847,-0.7366501622780728
5449,พระโขนง,237.0,7447000.0,15.823321958975034,15.090719426242236,0.7326025327327983
5349,ลาดกระบัง,108.0,831000.0,13.630386277206295,14.362499302441032,-0.732113025234737
3435,พญาไท,308.57,33078000.0,17.31437899703145,16.582775815704025,0.7316031813274257
1419,หนองจอก,81.81,970000.0,13.785052381406869,14.512228833531056,-0.727176452124187
2561,ประเวศ,396.8,30004000.0,17.216841297400553,16.50002279561806,0.7168185017824911
8280,จตุจักร,352.91,36859000.0,17.42261040728848,16.706040423941644,0.7165699833468366
770,หนองจอก,62.5,900000.0,13.710151153416941,14.423748031834988,-0.7135968784180466
136,หนองจอก,98.0,1350000.0,14.115615891155079,14.825294164347097,-0.7096782731920186
6902,คลองสามวา,177.0,9986500.0,16.11674483902254,15.407245516301678,0.7094993227208626
377,หนองจอก,77.0,920000.0,13.732130035981154,14.44156839359535,-0.7094383576141965
4087,หนองจอก,57.0,700000.0,13.45883704259595,14.167669044057297,-0.7088320014613458
6898,มีนบุรี,150.0,2475000.0,14.72175135802525,15.429748304895487,-0.707996946870237
375,หนองจอก,134.0,2000000.0,14.508658238524095,15.215242923771015,-0.70658468524692
6846,ตลิ่งชัน,200.0,12435000.0,16.336025715637813,15.630588166154265,0.7054375494835483
6414,ภาษีเจริญ,280.9,3530000.0,15.07680871219556,15.779871983041302,-0.7030632708457425
471,หนองจอก,118.0,833000.0,13.632790121628451,14.335784039137044,-0.7029939175085929
355,บางบอน,124.25,1523000.0,14.236193288475901,14.936932138527716,-0.700738850051815
7470,สวนหลวง,199.1,12800000.0,16.36495580701484,15.66860924975821,0.6963465572566303
4578,หนองจอก,72.0,550000.0,13.217675375388819,13.91359045390622,-0.6959150785174018
7883,ลาดกระบัง,289.35,8623000.0,15.969943725903375,16.66527226565543,-0.6953285397520563
1742,บางขุนเทียน,256.0,1650000.0,14.316286451937186,15.01112704799416,-0.6948405960569737
7075,คลองสามวา,177.0,9982000.0,16.11629412919201,15.42255721181089,0.6937369173811199
4274,จอมทอง,524.0,3834000.0,15.159419463411897,15.851379463902388,-0.6919600004904911
983,คลองสามวา,122.25,6000000.0,15.607270193858982,14.916217838774521,0.6910523550844605
1575,หนองแขม,201.0,2202000.0,14.604877050397265,15.294827038451292,-0.6899499880540265
4372,ลาดกระบัง,142.8,1180000.0,13.981025843899115,14.670793572526096,-0.6897677286269808
3323,หนองจอก,59.0,550000.0,13.217675375388819,13.907127352810587,-0.6894519774217684
5284,หนองจอก,91.0,800000.0,13.592368256649284,14.28130075045778,-0.6889324938084957
5922,หนองจอก,52.0,1450000.0,14.187074804051692,14.875394181565335,-0.6883193775136434
5935,หนองจอก,79.85,800000.0,13.592368256649284,14.280289498938377,-0.687921242289093
1856,บางกะปิ,249.0,8497000.0,15.955223835674268,15.270184924816798,0.6850389108574699
6142,ลาดกระบัง,184.8,6597000.0,15.70212570978905,16.383791137565805,-0.6816654277767551
4172,บางขุนเทียน,184.0,1900000.0,14.45736497045232,15.138203880488494,-0.680838910036174
7603,บางกะปิ,111.0,4170000.0,15.24342683358311,14.562912701178744,0.6805141324043653
885,บางขุนเทียน,240.0,2440000.0,14.707509007105367,15.383941105445217,-0.6764320983398502
4402,หนองจอก,114.5,705000.0,13.465954500233115,14.14180375522259,-0.6758492549894743
1296,จตุจักร,123.5,4846000.0,15.393664386714343,14.720633464628053,0.6730309220862907
1743,บางขุนเทียน,256.0,1690000.0,14.340239678615058,15.01112704799416,-0.670887369379102
8388,พระโขนง,142.8,5800000.0,15.573368647930426,14.908479371401127,0.6648892765292995
443,หนองจอก,79.6,800000.0,13.592368256649284,14.256984753937271,-0.6646164972879873
